Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
84;24385;"Journal of the Academy of Marketing Science";journal;"00920703, 15527824";"Springer New York";No;No;6,896;Q1;221;126;196;10111;3451;179;14,89;80,25;40,28;3;25;United States;Northern America;"Springer New York";"1973-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
85;100147318;"Entrepreneurship Theory and Practice";journal;"10422587, 15406520";"SAGE Publications Ltd";No;No;6,876;Q1;212;66;196;6933;3189;179;13,35;105,05;29,71;5;17;United States;Northern America;"SAGE Publications Ltd";"2004-2025";"Business and International Management (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
86;15388;"Journal of Applied Psychology";journal;"19391854, 00219010";"American Psychological Association";No;No;6,803;Q1;353;96;380;13143;4274;376;7,65;136,91;41,28;1;18;United States;Northern America;"American Psychological Association";"1917-2025";"Applied Psychology (Q1)";"Psychology"
87;21100832985;"ACS Energy Letters";journal;"23808195";"American Chemical Society";No;No;6,799;Q1;223;661;1596;35619;30764;1535;17,51;53,89;29,56;0;385;United States;Northern America;"American Chemical Society";"2016-2025";"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
88;27498;"Annual Review of Medicine";journal;"1545326X, 00664219";"Annual Reviews Inc.";No;No;6,794;Q1;182;34;103;2791;2098;103;23,14;82,09;37,23;2;19;United States;Northern America;"Annual Reviews Inc.";"1950-1958, 1960-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
89;18395;"Annual Review of Cell and Developmental Biology";book series;"15308995, 10810706";"Annual Reviews Inc.";No;No;6,788;Q1;247;19;61;2819;772;58;10,68;148,37;46,00;1;3;United States;Northern America;"Annual Reviews Inc.";"1995-2024";"Cell Biology (Q1); Developmental Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
90;17978;"Neuron";journal;"10974199, 08966273";"Cell Press";No;No;6,755;Q1;548;336;1126;24426;11231;926;9,96;72,70;40,20;1;22;United States;Northern America;"Cell Press";"1988-2025";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
91;19700174677;"Science Translational Medicine";journal;"19466234, 19466242";"American Association for the Advancement of Science";No;No;6,722;Q1;303;283;989;18945;14319;976;13,56;66,94;43,28;1;121;United States;Northern America;"American Association for the Advancement of Science";"2009-2025";"Medicine (miscellaneous) (Q1)";"Medicine"
92;12854;"Clinical Psychology Review";journal;"18737811, 02727358";"Elsevier Inc.";No;No;6,617;Q1;269;93;211;11021;3902;206;13,66;118,51;57,58;1;20;United States;Northern America;"Elsevier Inc.";"1981-2025";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
93;21191;"Pharmacological Reviews";journal;"15210081, 00316997";"Elsevier Inc.";No;No;6,603;Q1;264;51;110;13555;2406;108;18,01;265,78;36,14;0;16;United States;Northern America;"Elsevier Inc.";"1949, 1951-2025";"Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
94;24870;"Journal of Human Resources";journal;"15488004, 0022166X";"University of Wisconsin Press";No;No;6,588;Q1;129;71;145;4232;869;145;5,80;59,61;40,21;1;44;United States;Northern America;"University of Wisconsin Press";"1976-1982, 1990, 1992-2025";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
95;19700188395;"Annual Review of Marine Science";journal;"19410611, 19411405";"Annual Reviews Inc.";No;No;6,571;Q1;133;25;67;3320;1266;64;18,05;132,80;46,99;3;11;United States;Northern America;"Annual Reviews Inc.";"2009-2025";"Oceanography (Q1)";"Earth and Planetary Sciences"
96;25491;"Diabetes Care";journal;"19355548, 01495992";"American Diabetes Association Inc.";No;No;6,566;Q1;433;378;1369;12654;17008;1058;13,05;33,48;50,13;4;345;United States;Northern America;"American Diabetes Association Inc.";"1978-2025";"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)";"Medicine; Nursing"
97;21706;"Annual Review of Genetics";book series;"15452948, 00664197";"Annual Reviews Inc.";No;No;6,455;Q1;208;22;66;3373;669;66;8,24;153,32;39,06;0;4;United States;Northern America;"Annual Reviews Inc.";"1970-2024";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
98;21100201772;"Physical Review X";journal;"21603308";"American Physical Society";Yes;No;6,415;Q1;198;243;680;19831;10309;675;15,06;81,61;18,04;0;7;United States;Northern America;"American Physical Society";"2011-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
99;20246;"Journal of Labor Economics";journal;"0734306X, 15375307";"University of Chicago Press";No;No;6,404;Q1;136;45;132;2432;690;131;5,37;54,04;29,75;32;31;United States;Northern America;"University of Chicago Press";"1985-1989, 1991, 1993, 1995-2024";"Economics and Econometrics (Q1); Industrial Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
100;17915;"Proceedings of the IEEE";journal;"15582256, 00189219";"Institute of Electrical and Electronics Engineers Inc.";No;No;6,247;Q1;339;54;245;10663;9356;239;28,28;197,46;22,02;0;13;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2025";"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
101;21101101215;"Cell Genomics";journal;"2666979X";"Cell Press";Yes;No;6,238;Q1;31;149;247;11000;2004;203;7,85;73,83;40,97;0;52;United States;Northern America;"Cell Press";"2021-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
102;21100228519;"JAMA Neurology";journal;"21686157, 21686149";"American Medical Association";No;No;6,237;Q1;284;220;693;4635;7210;417;9,82;21,07;34,00;4;65;United States;Northern America;"American Medical Association";"2013-2025";"Neurology (clinical) (Q1)";"Medicine"
103;23860;"Journal of Business Venturing";journal;"08839026";"Elsevier Inc.";No;No;6,234;Q1;235;52;155;6248;1970;155;10,59;120,15;29,88;1;22;United States;Northern America;"Elsevier Inc.";"1985-2025";"Business and International Management (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting"
104;21101134733;"iMeta";journal;"2770596X, 27705986";"John Wiley and Sons Inc";Yes;No;6,223;Q1;28;103;128;4811;2910;88;22,73;46,71;34,47;0;30;United States;Northern America;"John Wiley and Sons Inc";"2022-2025";"Biotechnology (Q1); Microbiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
105;19700200702;"Annual Review of Financial Economics";journal;"19411367, 19411375";"Annual Reviews Inc.";No;No;6,062;Q1;49;19;76;1814;527;73;5,21;95,47;27,08;1;11;United States;Northern America;"Annual Reviews Inc.";"2010-2024";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
106;144974;"Journal of Service Research";journal;"10946705, 15527379";"SAGE Publications Inc.";No;No;6,011;Q1;156;71;116;5435;1873;105;11,35;76,55;41,94;0;14;United States;Northern America;"SAGE Publications Inc.";"1998-2025";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
107;21100788876;"Chem";journal;"24519308, 24519294";"Elsevier Inc.";No;No;6,010;Q1;167;305;803;15503;10911;640;12,97;50,83;30,54;2;189;United States;Northern America;"Elsevier Inc.";"2016-2025";"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Environmental Science; Materials Science; Medicine"
108;21100886132;"Science Robotics";journal;"24709476";"American Association for the Advancement of Science";No;No;5,940;Q1;122;134;304;5737;5900;260;19,26;42,81;26,66;0;18;United States;Northern America;"American Association for the Advancement of Science";"2016-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
109;21100826360;"JAMA Cardiology";journal;"23806583, 23806591";"American Medical Association";No;No;5,936;Q1;127;222;799;4715;5310;415;6,24;21,24;31,15;2;70;United States;Northern America;"American Medical Association";"2016-2025";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
110;22005;"Annual Review of Earth and Planetary Sciences";book series;"00846597";"Annual Reviews Inc.";No;No;5,885;Q1;187;23;78;3251;1266;75;12,94;141,35;23,91;0;6;United States;Northern America;"Annual Reviews Inc.";"1976, 1978-2024";"Astronomy and Astrophysics (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
111;13969;"Psychological Science in the Public Interest";journal;"21600031, 15291006";"SAGE Publications Inc.";No;No;5,852;Q1;62;11;23;1218;299;13;10,00;110,73;53,33;0;5;United States;Northern America;"SAGE Publications Inc.";"2000-2024";"Psychology (miscellaneous) (Q1)";"Psychology"
112;21272;"Journal of Experimental Medicine";journal;"00221007, 15409538";"Rockefeller University Press";No;No;5,834;Q1;503;191;753;12234;7296;716;8,35;64,05;46,54;0;72;United States;Northern America;"Rockefeller University Press";"1896-1902, 1905-2025";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
113;25454;"Blood";journal;"15280020, 00064971";"Elsevier B.V.";No;No;5,823;Q1;540;859;2584;27230;19324;1536;7,31;31,70;45,35;3;294;United States;Northern America;"Elsevier B.V.";"1946-2025";"Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
114;12963;"Review of Accounting Studies";journal;"15737136, 13806653";"Springer New York";No;No;5,817;Q1;107;119;150;7735;1478;150;7,37;65,00;30,42;9;35;United States;Northern America;"Springer New York";"1996-2025";"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1)";"Business, Management and Accounting"
115;23038;"ACM Computing Surveys";journal;"03600300, 15577341";"Association for Computing Machinery (ACM)";No;No;5,797;Q1;232;424;712;72042;26504;712;39,89;169,91;25,43;8;56;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-2025";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
116;13564;"Educational Psychologist";journal;"15326985, 00461520";"Routledge";No;No;5,794;Q1;163;18;63;2725;1096;58;14,83;151,39;67,92;1;6;United States;Northern America;"Routledge";"1963-2025";"Developmental and Educational Psychology (Q1)";"Psychology"
117;21100228547;"JAMA Psychiatry";journal;"21686238, 2168622X";"American Medical Association";No;No;5,755;Q1;417;224;642;6067;6729;393;9,08;27,08;45,55;21;73;United States;Northern America;"American Medical Association";"2013-2025";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine"
118;21307;"Management Science";journal;"00251909, 15265501";"INFORMS Institute for Operations Research and the Management Sciences";Yes;No;5,720;Q1;303;446;1214;28122;8863;1206;6,83;63,05;27,62;55;109;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2025";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
119;21101045745;"Carbon Energy";journal;"26379368";"John Wiley &amp; Sons Inc.";Yes;No;5,701;Q1;73;196;243;17506;5885;243;25,28;89,32;32,35;0;133;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2025";"Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
120;28800;"Annual Review of Environment and Resources";book series;"15452050, 15435938";"Annual Reviews Inc.";No;No;5,700;Q1;156;0;89;0;1928;86;16,97;0,00;0,00;0;0;United States;Northern America;"Annual Reviews Inc.";"2003-2023";"Environmental Science (miscellaneous) (Q1)";"Environmental Science"
121;17600155130;"National Center for Health Statistics Data Brief";journal;"19414927, 19414935";"";No;No;5,630;Q1;99;16;76;0;945;76;13,48;0,00;74,29;3;11;United States;Northern America;"";"2007-2024";"Medicine (miscellaneous) (Q1)";"Medicine"
122;19651;"Clinical Microbiology Reviews";journal;"08938512, 10986618";"American Society for Microbiology";No;No;5,594;Q1;340;55;97;14404;1973;97;19,02;261,89;40,50;1;31;United States;Northern America;"American Society for Microbiology";"1988-2024";"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Immunology and Microbiology; Medicine"
123;28371;"Hepatology";journal;"02709139, 15273350";"Lippincott Williams and Wilkins";No;No;5,557;Q1;415;576;1581;22271;14591;999;9,55;38,66;40,99;2;254;United States;Northern America;"Lippincott Williams and Wilkins";"1981-2025";"Hepatology (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
124;22680;"Journal of the American Chemical Society";journal;"15205126, 00027863";"American Chemical Society";Yes;No;5,554;Q1;734;3696;7857;219179;118656;7845;15,01;59,30;30,90;1;774;United States;Northern America;"American Chemical Society";"1879-2025";"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
125;17600155011;"Molecular Plant";journal;"16742052, 17529867";"Cell Press";No;No;5,519;Q1;178;171;564;9661;7376;446;13,75;56,50;38,88;0;31;United States;Northern America;"Cell Press";"2008-2025";"Molecular Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
126;146215;"JNCCN Journal of the National Comprehensive Cancer Network";journal;"15401413, 15401405";"Harborside Press";No;No;5,514;Q1;162;159;609;7107;6923;514;11,49;44,70;45,78;0;129;United States;Northern America;"Harborside Press";"2003-2025";"Medicine (miscellaneous) (Q1); Oncology (Q1)";"Medicine"
127;12812;"Personality and Social Psychology Review";journal;"10888683, 15327957";"SAGE Publications Inc.";No;No;5,493;Q1;194;25;40;5163;540;39;12,89;206,52;45,83;1;5;United States;Northern America;"SAGE Publications Inc.";"1997-2025";"Social Psychology (Q1)";"Psychology"
128;22657;"Accounts of Chemical Research";journal;"00014842, 15204898";"American Chemical Society";No;No;5,433;Q1;472;272;1023;17241;17863;1001;16,94;63,39;28,70;0;105;United States;Northern America;"American Chemical Society";"1968-2025";"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Chemistry; Medicine"
129;11300153407;"JACC: Cardiovascular Imaging";journal;"1936878X, 18767591";"Elsevier Inc.";No;No;5,426;Q1;169;232;995;4601;5283;381;5,73;19,83;29,67;0;57;United States;Northern America;"Elsevier Inc.";"2008-2025";"Cardiology and Cardiovascular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Medicine"
130;12817;"Personnel Psychology";journal;"00315826, 17446570";"Wiley-Blackwell";No;No;5,414;Q1;175;49;94;5822;983;91;9,85;118,82;38,18;3;10;United States;Northern America;"Wiley-Blackwell";"1948-2025";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
131;21149;"Leadership Quarterly";journal;"10489843";"Elsevier Inc.";No;No;5,393;Q1;202;45;139;4953;1772;130;10,97;110,07;30,47;2;12;United States;Northern America;"Elsevier Inc.";"1990-2025";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
